Timestamp	GazePointXLeft	GazePointYLeft	DistanceLeft	PupilLeftX	PupilLeftY	PupilArea	CRLeftX	CRLeftY	CRArea	ValidityLeft	GazePointXRight	GazePointYRight	DistanceRight	PupilRightX	PupilRightY	PupilArea	CRRightX	CRRightY	CRArea	ValidityRight
36819	-31.1019251540898	-44.3747422624965	500	276.473394495413	250.551376146789	1090	278.4	233.6	15	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36827	-31.028463258705	-44.681911236566	500	276.489201877934	251.07323943662	1065	278.333333333333	233.916666666667	12	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36835	-31.0049480365014	-44.5704354179267	500	276.494423791822	250.995353159851	1076	278.333333333333	233.916666666667	12	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36844	-30.8207824950233	-45.0249246194902	500	276.668880455408	251.296963946869	1054	278.333333333333	233.916666666667	12	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36852	-30.9987139241811	-44.3689184730447	500	276.508886810103	251.031805425631	1069	278.363636363636	234.090909090909	11	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36860	-31.0022472682331	-44.3093632489902	500	276.500466853408	250.991596638655	1071	278.363636363636	234.090909090909	11	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36869	-30.9750553269899	-44.4627325234755	500	276.53483992467	251.094161958569	1062	278.363636363636	234.090909090909	11	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36877	-30.6255322901275	-44.4970168066563	500	276.417910447761	251.004664179104	1072	278	234	13	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36885	-30.8162091329247	-44.5681733947581	500	276.292637465051	251.065237651445	1073	278	234	13	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36894	-30.8015424826019	-44.4385088551023	500	276.206572769953	251.059154929577	1065	277.916666666667	234.083333333333	12	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36902	-30.8907431869572	-44.4137818803533	500	276.141917293233	251.047932330827	1064	277.916666666667	234.083333333333	12	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36910	-30.9115677362315	-44.4240496597976	500	276.12839737582	251.056232427366	1067	277.916666666667	234.083333333333	12	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36919	-30.6629639983806	-44.337437422968	500	276.103448275862	250.898415657036	1073	277.727272727273	234	11	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36927	-30.9738095295692	-44.4842163055039	500	275.901500938086	251.017823639775	1066	277.727272727273	234	11	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36935	-30.1534568623577	-44.7687740180113	500	275.93572778828	251.244801512287	1058	277.166666666667	234.083333333333	12	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36944	-30.099842851988	-44.5932201956385	500	275.954971857411	251.121013133208	1066	277.166666666667	234.083333333333	12	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36952	-30.4200076688044	-44.5710055196468	500	275.733705772812	251.125698324022	1074	277.166666666667	234.083333333333	12	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36960	-30.2668692454996	-45.0680964947489	500	275.888145315488	251.458891013384	1046	277.166666666667	234.083333333333	12	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36969	-29.9079617906074	-44.6678245936123	500	277.325863678805	250.676937441643	1071	278.4	233.6	15	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36977	-24.979628809786	-43.2927581453394	500	282.426335174954	249.369244935543	1086	280.5	233.5	16	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36985	-20.0662264507972	-43.3978109066504	500	287.197632058288	247.178506375228	1098	282.5	231.5	16	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36994	-16.4651640675929	-41.7793812475553	500	291.201634877384	245.468664850136	1101	284.75	231	16	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
37002	-17.0118762965777	-41.4777693468306	500	292.090909090909	244.908190819082	1111	285.933333333333	230.6	15	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
37010	-15.0140221532416	-41.5003821848375	500	292.769797421731	244.842541436464	1086	285.615384615385	230.615384615385	13	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
37019	-14.3404101024834	-41.3962565395559	500	292.976915974146	244.964912280702	1083	285.5	230.833333333333	12	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
37027	-13.5444784747155	-40.8483965007352	500	293.030499075786	245.060998151571	1082	285.2	231.3	10	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
37035	-13.6292642215816	-41.2195992610952	500	293.010270774977	245.290382819795	1071	285.2	231.3	10	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
37044	-13.571446797473	-41.1562632471221	500	293.034514925373	245.249067164179	1072	285.2	231.3	10	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
