subj,arch,appr,ArchAppr,rep,acc
18,2,1,3,2,0.445682279
18,2,1,3,3,0.409784865
18,2,1,3,4,0.429779069
18,2,1,3,5,0.417144402
18,2,1,3,6,0.427778896
18,2,1,3,7,0.424104301
18,2,1,3,8,0.418917138
18,2,1,3,9,0.430660879
18,2,1,3,10,0.41495132
18,2,2,4,1,0.43073947
18,2,2,4,2,0.411274876
18,2,2,4,3,0.421840387
18,2,2,4,4,0.414796522
18,2,2,4,5,0.421282252
18,2,2,4,6,0.424438174
18,2,2,4,7,0.420441745
18,2,2,4,8,0.414645581
18,2,2,4,9,0.417306551
18,2,2,4,10,0.414515376
19,1,1,1,1,0.624069833
19,1,1,1,2,0.771021323
19,1,1,1,3,0.656361728
19,1,1,1,4,0.663164375
19,1,1,1,5,0.674883426
19,1,1,1,6,0.686483775
19,1,1,1,7,0.715398956
19,1,1,1,8,0.773263161
19,1,1,1,9,0.72098249
19,1,1,1,10,0.639438218
19,1,2,2,1,0.676205859
19,1,2,2,2,0.62503647
19,1,2,2,3,0.639894469
19,1,2,2,4,0.673364409
19,1,2,2,5,0.692628424
19,1,2,2,6,0.731005297
19,1,2,2,7,0.655370389
19,1,2,2,8,0.687274895
19,1,2,2,9,0.708657937
19,1,2,2,10,0.657819976
19,2,1,3,1,0.573881454
19,2,1,3,2,0.558870387
19,2,1,3,3,0.560829908
19,2,1,3,4,0.557452162
19,2,1,3,5,0.589056568
19,2,1,3,6,0.528388638
19,2,1,3,7,0.572617826
19,2,1,3,8,0.524850005
19,2,1,3,9,0.542482918
19,2,1,3,10,0.52857027
19,2,2,4,1,0.549502931
19,2,2,4,2,0.576732463
19,2,2,4,3,0.523760461
19,2,2,4,4,0.560857955
19,2,2,4,5,0.508340034
19,2,2,4,6,0.517775171
19,2,2,4,7,0.545535283
19,2,2,4,8,0.538246424
19,2,2,4,9,0.506411597
19,2,2,4,10,0.54605487
20,1,1,1,1,1.064546423
20,1,1,1,2,0.983314487
20,1,1,1,3,0.946576633
20,1,1,1,4,0.98232012
20,1,1,1,5,0.972327891
20,1,1,1,6,1.026269435
20,1,1,1,7,0.935938495
20,1,1,1,8,0.935651372
20,1,1,1,9,0.976953499
20,1,1,1,10,0.979262809
20,1,2,2,1,0.970619023
20,1,2,2,2,0.978018449
20,1,2,2,3,0.96418043
20,1,2,2,4,0.978224096
20,1,2,2,5,0.971200304
20,1,2,2,6,0.967536778
20,1,2,2,7,0.978356871
